t_s,r_cm_raw,r_cm,r_m
0.0,2.0,2.0,0.02
1800.0,1.873,1.873,0.01873
3600.0,1.794,1.794,0.01794
5400.0,1.703,1.703,0.01703
7200.0,1.625,1.625,0.01625
9000.0,1.589,1.589,0.01589
10800.0,1.552,1.552,0.01552
12600.0,1.51,1.51,0.0151
14400.0,1.477,1.477,0.014770000000000002
16200.0,1.447,1.447,0.01447
18000.0,1.424,1.424,0.01424
19800.0,1.397,1.397,0.01397
21600.0,1.374,1.374,0.013740000000000002
23400.0,1.356,1.356,0.013560000000000001
25200.0,1.337,1.337,0.01337
27000.0,1.321,1.321,0.01321
28800.0,1.311,1.311,0.01311
30600.0,1.299,1.299,0.01299
32400.0,1.291,1.291,0.01291
34200.0,1.281,1.281,0.01281
36000.0,1.273,1.273,0.01273
37800.0,1.266,1.266,0.012660000000000001
39600.0,1.26,1.26,0.0126
41400.0,1.253,1.253,0.01253
43200.0,1.248,1.248,0.01248
45000.0,1.244,1.244,0.01244
46800.0,1.24,1.24,0.0124
48600.0,1.236,1.236,0.01236
50400.0,1.233,1.233,0.01233
52200.0,1.229,1.229,0.01229
54000.0,1.226,1.226,0.01226
55800.0,1.223,1.223,0.012230000000000001
57600.0,1.221,1.221,0.01221
59400.0,1.219,1.219,0.012190000000000001
61200.0,1.218,1.218,0.01218
63000.0,1.216,1.216,0.01216
64800.0,1.214,1.214,0.01214
66600.0,1.213,1.213,0.012130000000000002
68400.0,1.212,1.212,0.01212
70200.0,1.211,1.211,0.012110000000000001
72000.0,1.21,1.21,0.0121
73800.0,1.209,1.209,0.012090000000000002
75600.0,1.208,1.208,0.01208
77400.0,1.207,1.207,0.01207
79200.0,1.206,1.206,0.01206
81000.0,1.206,1.206,0.01206
82800.0,1.205,1.205,0.012050000000000002
84600.0,1.205,1.205,0.012050000000000002
86400.0,1.204,1.204,0.01204
88200.0,1.204,1.204,0.01204
90000.0,1.203,1.203,0.01203
91800.0,1.203,1.203,0.01203
93600.0,1.203,1.203,0.01203
95400.0,1.203,1.203,0.01203
97200.0,1.202,1.202,0.01202
99000.0,1.202,1.202,0.01202
100800.0,1.202,1.202,0.01202
102600.0,1.202,1.202,0.01202
104400.0,1.202,1.202,0.01202
106200.0,1.201,1.201,0.012010000000000002
108000.0,1.201,1.201,0.012010000000000002
109800.0,1.201,1.201,0.012010000000000002
111600.0,1.201,1.201,0.012010000000000002
113400.0,1.201,1.201,0.012010000000000002
115200.0,1.201,1.201,0.012010000000000002
117000.0,1.201,1.201,0.012010000000000002
118800.0,1.201,1.201,0.012010000000000002
120600.0,1.201,1.201,0.012010000000000002
122400.0,1.201,1.201,0.012010000000000002
124200.0,1.201,1.201,0.012010000000000002
126000.0,1.2,1.2,0.012
127800.0,1.2,1.2,0.012
129600.0,1.2,1.2,0.012
131400.0,1.2,1.2,0.012
133200.0,1.2,1.2,0.012
135000.0,1.2,1.2,0.012
136800.0,1.2,1.2,0.012
138600.0,1.2,1.2,0.012
140400.0,1.2,1.2,0.012
142200.0,1.2,1.2,0.012
144000.0,1.2,1.2,0.012
145800.0,1.2,1.2,0.012
147600.0,1.2,1.2,0.012
149400.0,1.2,1.2,0.012
151200.0,1.2,1.2,0.012
153000.0,1.2,1.2,0.012
154800.0,1.2,1.2,0.012
156600.0,1.2,1.2,0.012
158400.0,1.2,1.2,0.012
160200.0,1.2,1.2,0.012
162000.0,1.2,1.2,0.012
163800.0,1.2,1.2,0.012
165600.0,1.2,1.2,0.012
167400.0,1.2,1.2,0.012
169200.0,1.2,1.2,0.012
171000.0,1.2,1.2,0.012
172800.0,1.2,1.2,0.012
174600.0,1.2,1.2,0.012
176400.0,1.2,1.2,0.012
178200.0,1.2,1.2,0.012
180000.0,1.2,1.2,0.012
181800.0,1.2,1.2,0.012
183600.0,1.2,1.2,0.012
185400.0,1.2,1.2,0.012
187200.0,1.2,1.2,0.012
189000.0,1.2,1.2,0.012
190800.0,1.2,1.2,0.012
192600.0,1.2,1.2,0.012
194400.0,1.2,1.2,0.012
196200.0,1.2,1.2,0.012
198000.0,1.2,1.2,0.012
199800.0,1.2,1.2,0.012
201600.0,1.2,1.2,0.012
203400.0,1.2,1.2,0.012
205200.0,1.2,1.2,0.012
207000.0,1.2,1.2,0.012
208800.0,1.199,1.199,0.01199
210600.0,1.199,1.199,0.01199
212400.0,1.199,1.199,0.01199
214200.0,1.199,1.199,0.01199
216000.0,1.199,1.199,0.01199
217800.0,1.199,1.199,0.01199
219600.0,1.199,1.199,0.01199
221400.0,1.199,1.199,0.01199
223200.0,1.199,1.199,0.01199
225000.0,1.199,1.199,0.01199
226800.0,1.199,1.199,0.01199
228600.0,1.199,1.199,0.01199
230400.0,1.199,1.199,0.01199
232200.0,1.199,1.199,0.01199
234000.0,1.199,1.199,0.01199
235800.0,1.199,1.199,0.01199
237600.0,1.199,1.199,0.01199
239400.0,1.199,1.199,0.01199
241200.0,1.198,1.198,0.01198
243000.0,1.198,1.198,0.01198
244800.0,1.198,1.198,0.01198
246600.0,1.198,1.198,0.01198
248400.0,1.198,1.198,0.01198
250200.0,1.198,1.198,0.01198
252000.0,1.198,1.198,0.01198
253800.0,1.198,1.198,0.01198
255600.0,1.198,1.198,0.01198
257400.0,1.198,1.198,0.01198
259200.0,1.198,1.198,0.01198
